172.18.0.1 - - [19/Dec/2025:00:38:52 +0000] "GET /?id=7c7cc5dc-28c5-484a-9f72-f8a98ee9c902&vscodeBrowserReqId=1766104732088 HTTP/1.1" 200 406 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.106.3 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:39:38 +0000] "GET /?id=7c7cc5dc-28c5-484a-9f72-f8a98ee9c902&vscodeBrowserReqId=1766104778378 HTTP/1.1" 200 406 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.106.3 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:39:46 +0000] "GET /?id=7c7cc5dc-28c5-484a-9f72-f8a98ee9c902&vscodeBrowserReqId=1766104786282 HTTP/1.1" 200 406 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.106.3 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:39:48 +0000] "GET /?id=7c7cc5dc-28c5-484a-9f72-f8a98ee9c902&vscodeBrowserReqId=1766104788074 HTTP/1.1" 200 406 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.106.3 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:41:03 +0000] "GET /?id=7c7cc5dc-28c5-484a-9f72-f8a98ee9c902&vscodeBrowserReqId=1766104863930 HTTP/1.1" 200 406 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.106.3 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:41:10 +0000] "GET / HTTP/1.1" 200 406 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:41:11 +0000] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 185 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:41:11 +0000] "GET /favicon.ico HTTP/1.1" 404 185 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:41:32 +0000] "GET / HTTP/1.1" 200 406 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:41:32 +0000] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 185 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
172.18.0.1 - - [19/Dec/2025:00:41:44 +0000] "GET / HTTP/1.1" 200 406 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" host=localhost tenant=localhost
